NS_LnZ SS_LnZ
-142.3544360039624 -142.4529833043743
-142.47965367979674 -142.26882802054038
-142.56394802296523 -142.7438594614034
-142.6435440079885 -142.52802369644527
-142.52181205054228 -142.60698150253683
-142.46622930551135 -142.43385324163953
-142.6132307636633 -142.49384554589736
-142.45980357303154 -142.28424112071005
-142.69402967528364 -142.47730559999084
-142.77533717350286 -142.27800413890975
-142.52042284262546 -142.02381851788965
-142.4077017204885 -142.47864524477842
-142.65516240243545 -142.35489466280876
-142.65553175468293 -142.41922446058433
-142.39259538765768 -142.32353404451922
-142.4935127595693 -142.38033492173207
-142.61122116034804 -142.41433745437473
-142.62522094150762 -142.24490155176426
-142.5461245741918 -142.1825133646503
-142.57378545830124 -142.42425763620696
-142.57318558254738 -142.20571001292234
-142.55890948357035 -142.389299265482
-142.3957811520989 -142.31970400007506
-142.57923083241684 -142.50026443031933
-142.5355444811556 -142.2765753556438
-142.37256121182637 -142.3290439200377
-142.684895118258 -142.31541006064026
-142.48851188715574 -142.37951215229245
-142.53643403091291 -142.44847806285588
-142.4437698345844 -142.3980496827647
-142.40051745574328 -142.27169795767045
-142.60999900658172 -142.33196235744418
-142.63238802738834 -142.36717552902687
-142.60049763751252 -142.3097165877646
-142.64727813209797 -142.43808362902593
-142.5324752444102 -142.40200361872135
-142.7789544648196 -142.44456436766194
-142.70618190933126 -142.35167751225453
-142.64648821285698 -142.3493415476116
-142.50101593101522 -142.50644247233404
-142.59523255283364 -142.29997954318503
-142.5184774571179 -142.3750456637
-142.52213934895087 -142.08825570676083
-142.65817564277214 -142.42092073723674
-142.59931250557153 -142.5193627459517
-142.6526159458474 -142.6009585332236
-142.61791286896 -142.44012919753703
-142.56037738630525 -142.20206237784984
-142.27513959003343 -142.46472385607763
-142.48614747052625 -142.48768241981844
-142.57212631967303 -142.63089469862015
-142.76948588675612 -142.33701127270484
-142.5661960558257 -142.48580207766247
-142.53991871969447 -142.42680660274706
-142.57246621710013 -142.25018419112124
-142.774010116911 -142.60245393467054
-142.58923949923167 -142.74468802533076
-142.60851659545494 -142.41219881411905
-142.5203839885231 -142.3770758516596
-142.58161875692636 -142.453443152459
-142.61748658186167 -142.41624850131814
-142.4376167495485 -142.329245922191
-142.63358454605714 -142.34808737416793
-142.40059625146705 -142.46951095850102
-142.5582207416283 -142.34635413250757
-142.37853656147288 -142.67049016679513
-142.62772942522747 -142.48179168244113
-142.51652736308404 -142.32054493144813
-142.62757467647555 -142.32741989945518
-142.58524517348337 -142.11349482665992
-142.63003241333737 -142.46622290190578
-142.75685286500405 -142.6066281114441
-142.70541031125208 -142.70771369462852
-142.59525514125633 -142.29799193939184
-142.74969210297843 -142.55478230343954
-142.5613682744472 -142.4055702581353
-142.52062592555916 -142.29762738038517
-142.53214530135926 -142.4032971105034
-142.4788958587937 -142.37863333267865
-142.5158571330393 -142.4227879038204
-142.80678679937827 -142.1463554514122
-142.70700748434092 -142.25107979086465
-142.42523616126022 -142.52524698046932
-142.50476308868235 -142.25993874916327
-142.71796403469932 -142.2717230331695
-142.51104297093292 -142.27189116526907
-142.72565015325634 -142.3193400717721
-142.66092740328713 -142.44093353205088
-142.54015650894158 -142.45363392141178
-142.4224012370242 -142.4805888533957
-142.5633026471219 -142.31790643671366
-142.53736188764282 -142.49060844322574
-142.35881729785373 -142.1561327692841
-142.50053940664588 -142.56517109395242
-142.73620261260734 -142.28822529905432
-142.34710893726046 -142.4953320881733
-142.53215095372917 -142.32201173965652
-142.45419325698154 -142.15956567182207
-142.83725534529788 -142.42296224655112
-142.6949242818852 -142.4851760925217
